Dates,Name of Exposition,City,Country,Location,Latitude,Longitude,Category,Theme,Notables,"Visitors
in millions","Cost
in millions (USD unless specified)","Area
(hectare)","Attending
countries"
04/1851 – 10/1851,The Great Exhibition,London,United Kingdom of Great Britain and Ireland,"The Great Exhibition, London, United Kingdom of Great Britain and Ireland",51.4549504,-0.0717997,World Expo,Industry of all Nations,The Crystal Palace,6,1.65,10,25
05/1855 – 11/1855,Exhibition Universelle / Paris International,Paris,France,"Exhibition Universelle / Paris International, Paris, France",48.856614,2.3522219,World Expo,"Agriculture, Industry and Art","Palais d'Industrie, Bordeaux Wine classification",5,2,15,25
05/1862 – 11/1862,International Exhibition,London,United Kingdom of Great Britain and Ireland,"International Exhibition, London, United Kingdom of Great Britain and Ireland",51.5084601,0.029846,World Expo,Industry and Arts,,6,2,15,39
04/1867 – 11/1867,Exposition Universelle / Paris International,Paris,France,"Exposition Universelle / Paris International, Paris, France",48.8668281,2.3336311,World Expo,"Agriculture, Industry and Arts",Champ de Mars,15,4.5,69,42
05/1873 – 10/1873,Weltausstellung 1873 Wien / Austrian International Exposition,Vienna,Austria-Hungary,"Weltausstellung 1873 Wien / Austrian International Exposition, Vienna, Austria-Hungary",48.2081743,16.3738189,World Expo,Culture and Education,Rotunde,7.25,9.5,233,35
05/1876 – 11/1876,Centennial Exposition,Philadelphia,United States,"Centennial Exposition, Philadelphia, United States",39.9525839,-75.1652215,World Expo,"Arts, Manufactures and Products of the Soil and Mine","Centennial Arboretum, Telephone, Heinz Ketchup",10,8,115,35
05/1878 – 11/1878,Exposition Universelle / Paris International Exposition,Paris,France,"Exposition Universelle / Paris International Exposition, Paris, France",48.8660811,2.2951454,World Expo,New Technologies,"Statue of Liberty, Telephone, Braille",16,11,75,36
10/1880 – 04/1881,Melbourne International Exhibition,Melbourne,Victoria,"Melbourne International Exhibition, Melbourne, Victoria",-37.8261295,144.9531075,World Expo,"Arts, Manufacturing, Agriculture and Industrial Products of all Nations",Royal Exhibition Buildings & Carlton Gardens,1.3,1.6,25,33
04/1888 – 12/1888,Exposición Universal de Barcelona (1888),Barcelona,Spain,"Exposición Universal de Barcelona (1888), Barcelona, Spain",41.3811569,2.1735687,World Expo,Fine and Industrial Arts,"Arc de Triomf, Columbus Monument",2.3,1.7,47,30
05/1889 – 10/1889,Exposition Universelle / Paris International Exposition,Paris,France,"Exposition Universelle / Paris International Exposition, Paris, France",48.8660811,2.2951454,World Expo,French Revolution,"Eiffel Tower, Annie Oakley",32,0.3,96,35
05/1893 – 10/1893,World's Columbian Exposition,Chicago,United States,"World's Columbian Exposition, Chicago, United States",41.7796598,-87.6162816,World Expo,Discovery of America,"Midway Plaisance, Fine Arts Building, Fluorescent lamp, Ferris wheel",27.5,27,690,19
05/1897 – 11/1897,Brussels International Exposition,Brussels,Belgium,"Brussels International Exposition, Brussels, Belgium",50.8992103,4.3376323,World Expo,Modern Life,,7.8,,132,27
04/1900 – 11/1900,Paris International,Paris,France,"Paris International, Paris, France",48.834566,2.347822,World Expo,19th Century: an overview,"Motion Pictures, Escalator, Summer Olympics",50.8,18.75,120,58
04/1904 – 12/1904,Louisiana Purchase,St. Louis,United States,"Louisiana Purchase, St. Louis, United States",38.6270025,-90.1994042,World Expo,Louisiana Purchase,"Forest Park, Palace of Fine Art, Vulcan statue, In conjunction with Summer Olympics",19.69,31.5,515,63
04/1905 – 11/1905,Liège International (1905),Liège,Belgium,"Liège International (1905), Liège, Belgium",50.6325574,5.5796662,World Expo,Commemoration of the 75th anniversary of independence,,7,2.9,70,31
